Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,25000.00,25000.00
16-01-19,Deposit,,50.00,25050.00
16-02-19,Deposit,,50.00,25100.00
16-03-19,Deposit,,50.00,25150.00
16-04-19,Deposit,,50.00,25200.00
16-05-19,Deposit,,50.00,25250.00
16-06-19,Deposit,,50.00,25300.00
16-07-19,Deposit,,50.00,25350.00
16-08-19,Deposit,,50.00,25400.00
16-09-19,Deposit,,50.00,25450.00
16-10-19,Deposit,,50.00,25500.00
16-11-19,Deposit,,50.00,25550.00
16-12-19,Deposit,,50.00,25600.00
28-12-19,WIN (22.5% APR),,5398.58,30998.58
